Date,Activity Description,Amount,Category
2025-01-01,Picked up shoes at Foot Locker,50.39,Merchandise
2025-01-01,Filled gas at Shell Gas Station,84.64,Travel
2025-01-01,Coffee at Starbucks,12.7,Dining
2025-01-02,Pizza night at Domino's Pizza,6.81,Dining
2025-01-02,Dinner at Ichiban Sushi Restaurant,20.83,Dining
2025-01-02,Bought a train ticket from Amtrak,63.91,Travel
2025-01-03,Bought groceries at Walmart,24.57,Grocery
2025-01-03,Bought essentials at Trader Joe's,22.46,Grocery
2025-01-03,Watched a movie at AMC Theatres,22.32,Entertainment
2025-01-04,Pizza night at Domino's Pizza,13.45,Dining
2025-01-04,Bought a train ticket from Amtrak,75.46,Travel
2025-01-04,Purchased a backpack from Target,18.88,Merchandise
2025-01-05,Picked up produce from H-E-B,23.79,Grocery
2025-01-05,Renewed Netflix subscription,10.31,Entertainment
2025-01-05,Visited Whole Foods Market,41.8,Grocery
2025-01-06,Dinner at Ichiban Sushi Restaurant,19.71,Dining
2025-01-06,Ordered electronics on Amazon,48.64,Merchandise
2025-01-06,Bought essentials at Trader Joe's,33.23,Grocery
2025-01-07,Bought concert tickets for Taylor Swift,9.17,Entertainment
2025-01-07,Dinner at Ichiban Sushi Restaurant,34.76,Dining
2025-01-07,Filled gas at Shell Gas Station,36.27,Travel
2025-01-08,Purchased a backpack from Target,7.08,Merchandise
2025-01-08,Bought concert tickets for Taylor Swift,20.07,Entertainment
2025-01-08,Picked up produce from H-E-B,21.54,Grocery
2025-01-09,Coffee at Starbucks,13.54,Dining
2025-01-09,Bought a jacket from Macy's,36.38,Merchandise
2025-01-09,Ordered electronics on Amazon,17.83,Merchandise
2025-01-10,Ordered electronics on Amazon,39.16,Merchandise
2025-01-10,Filled gas at Shell Gas Station,40.68,Travel
2025-01-10,Dinner at Ichiban Sushi Restaurant,6.95,Dining
2025-01-11,Dinner at Ichiban Sushi Restaurant,9.29,Dining
2025-01-11,Booked a flight with Delta Airlines,35.5,Travel
2025-01-11,Filled gas at Shell Gas Station,67.91,Travel
2025-01-12,Pizza night at Domino's Pizza,15.31,Dining
2025-01-12,Coffee at Starbucks,16.97,Dining
2025-01-12,Went to SkyZone Trampoline Park,26.75,Entertainment
2025-01-13,Renewed Netflix subscription,21.72,Entertainment
2025-01-13,Bought groceries at Walmart,21.52,Grocery
2025-01-13,Paid for an Uber ride to downtown,65.55,Travel
2025-01-14,Lunch at Olive Garden,6.52,Dining
2025-01-14,Bought a train ticket from Amtrak,17.6,Travel
2025-01-14,Bought essentials at Trader Joe's,38.14,Grocery
2025-01-15,Renewed Netflix subscription,15.22,Entertainment
2025-01-15,Watched a movie at AMC Theatres,13.66,Entertainment
2025-01-15,Paid for an Uber ride to downtown,38.38,Travel
2025-01-16,Paid for an Uber ride to downtown,56.65,Travel
2025-01-16,Paid for an Uber ride to downtown,26.68,Travel
2025-01-16,Bought a jacket from Macy's,26.24,Merchandise
2025-01-17,Bought groceries at Walmart,13.46,Grocery
2025-01-17,Pizza night at Domino's Pizza,4.98,Dining
2025-01-17,Ordered electronics on Amazon,55.86,Merchandise
2025-01-18,Dinner at Ichiban Sushi Restaurant,20.24,Dining
2025-01-18,Bought groceries at Walmart,31.84,Grocery
2025-01-18,Dinner at Ichiban Sushi Restaurant,6.82,Dining
2025-01-19,Went to SkyZone Trampoline Park,5.63,Entertainment
2025-01-19,Visited Whole Foods Market,42.14,Grocery
2025-01-19,Ordered electronics on Amazon,120.86,Merchandise
2025-01-20,Picked up produce from H-E-B,26.9,Grocery
2025-01-20,Picked up produce from H-E-B,40.34,Grocery
2025-01-20,Renewed Netflix subscription,21.32,Entertainment
2025-01-21,Purchased a backpack from Target,48.02,Merchandise
2024-11-01,Picked up produce from H-E-B,48.21,Grocery
2024-11-01,Filled gas at Shell Gas Station,28.97,Travel
2024-11-01,Paid for an Uber ride to downtown,18.53,Travel
2024-11-02,Lunch at Olive Garden,12.6,Dining
2024-11-02,Coffee at Starbucks,8.27,Dining
2024-11-02,Paid for an Uber ride to downtown,50.92,Travel
